"name","super_class","sys_package"
"ts_c_54_3","",""
"sys_dictionary_override","sys_metadata",""
"sys_ux_macroponent_type","sys_metadata","ed08ed24a920211076daa554cb57d9c6"
"ais_configuration_attribute","","dcf8a5a8a920211076daa554cb57d938"
"rate_model","","9b1be0ac87d2e910efbf1f473cbb356f"
"sn_sec_cmn_breach_type","sn_sec_cmn_enrichment_data_base","f38c97005301120034c69816a11c081d"
"cab_definition","mtg_definition","18351d53eb32120034d1eeea1206fe79"
"catalog_ui_policy_action","sys_ui_policy_action","086da5e8a9a0211076daa554cb57d90f"
"scan_finding","","af61fdeca9e0211076daa554cb57d973"
"sn_team_perf_kpi_group_m2m_pa_indicators","","49a7d972b3170010ed7fc9c316a8dc30"
"sn_hr_core_document_acknowledgement","","d4ac3fff5b311200a4656ede91f91af2"
"cmdb_ci_vm_zones","cmdb_ci_vm","9c79296ca920211076daa554cb57d956"
"ts_c_47_0","",""
"ts_c_43_4","",""
"ml_related_service_status","","c5c8192573977410ec44db37aef6a72c"
"sys_ui_hp_cascading_filter","sys_metadata","703f6964a9e0211076daa554cb57d926"
"sn_trans_commons_language_code_mapping","sys_metadata","59a9ccca0f32201039534ee7c8767eac"
"svc_model_obj_impact","","edb13d60a924211076daa554cb57d949"
"sn_communities_moderation_task","task","10809a9edb866200b1f6f78eaf961904"
"sn_ti_stix2_external_reference","","8b068223eb120200cb3aa9bcf106fe82"
"ts_c_10_2","",""
"sys_atf_schedule_run","sys_metadata","84de65e0a9e0211076daa554cb57d918"
"ua_audit_stats","","3fd86d68a920211076daa554cb57d9bd"
"rb_category_m2m","sys_metadata","88f6952a97926550da6cdc04a253afd1"
"cmdb_health_result_count","","9c79296ca920211076daa554cb57d956"
"sn_hamp_hw_product_model","","6cd246601b9e0010cf95dd33dd4bcb8a"
"mp_provider_permission","","d80a47549712e910da6cdc04a253afb4"
"sn_csm_case_digest_pcr","sn_csm_case_digest_task","8fa0059c73632300f74071ef64f6a76a"
"sn_ais_admin_tools_ai_search_analytics_dashboard_trending_search_content","","3f115144c33310109f1ed23d2840dd4c"
"nlu_conflict_definition","","31f5f491c3a710100bf407720f40ddf4"
"nlu_conflict_result","","31f5f491c3a710100bf407720f40ddf4"
"credential_type_metadata","sys_metadata","142ee5eca9a0211076daa554cb57d9d0"
"sys_alias_templates","sys_metadata","142ee5eca9a0211076daa554cb57d9d0"
"license_itom_ci_su_ratio","license_metadata","321f2164a9e0211076daa554cb57d941"
"pa_scores_l2","","6b203d28a9e0211076daa554cb57d9a2"
"sn_employee_ai_configuration","sys_metadata","1e95bac2738f001001b566b90ff6a7cd"
"cmn_cost_center","","6837e920a920211076daa554cb57d99c"
"sn_hr_core_condition","sys_metadata","d4ac3fff5b311200a4656ede91f91af2"
"sys_analytics_data_points_queue0001","","a039ade8a920211076daa554cb57d9db"
"sn_vul_app_vul_entry","sn_vul_entry","054cdcc2ff200200158bffffffffff94"
"cmdb_ci_pdu_outlet","cmdb_ci","9c79296ca920211076daa554cb57d956"
"imp_cost_plan","sys_import_set_row","48aaa4e487d2e910efbf1f473cbb350b"
"user_multifactor_auth","","747035a8a9e0211076daa554cb57d9c6"
"sn_pw_scenario_pm_portfolio_scenario_configuration","","a51435d15b320010ab54aca43381c75f"
"sla_repair_log_message0007","syslog0007","966ead20a9e0211076daa554cb57d968"
"sn_sd_kpi_category","sys_metadata","3cc85c0107303010c7d559bf1ad30022"
"sn_sd_service_group","sys_metadata","3cc85c0107303010c7d559bf1ad30022"
"ts_c_66_5","",""
"sn_req_criteria_customer_condition","sys_metadata","af8574e5c39730102619db85a840dd7d"
"cmdb_ci_app_server","cmdb_ci_appl","9c79296ca920211076daa554cb57d956"
"cmdb_ci_lb_interface","cmdb_ci","9c79296ca920211076daa554cb57d956"
"wf_workflow","sys_metadata","347ce5a4a9a0211076daa554cb57d975"
"sn_sec_cmn_widgets","sys_metadata","f38c97005301120034c69816a11c081d"
"asset_content_audit","","b87ce5a4a9a0211076daa554cb57d974"
"pc_hardware_cat_item","pc_product_cat_item","4dbee9a0a9e0211076daa554cb57d99b"
"sys_flow_trigger","","20d0392ca9e0211076daa554cb57d9f6"
"sa_deferred_service_discovery","","8056bdadc30b3d10b2ce78f9d0013174"
"sn_vul_exception_config","","054cdcc2ff200200158bffffffffff94"
"sn_oper_res_m2m_analysis_scenario_event","","c17ec68b532510108722ddeeff7b12d5"
"sys_cb_topic_category","sys_metadata","05d57524a964211076daa554cb57d9a6"
"cmdb_ci_chassis","cmdb_ci_hardware","ae99d84b2320330006c0110d96bf65b3"
"cmdb_ire_data_source_rule","sys_metadata","9c79296ca920211076daa554cb57d956"
"sn_ca_campaign_user","","bde72a4753710300d901a7e6a11c0838"
"sn_cmp_wl_cfg_mgmt_provider","cmdb_ci_workload_config_provider","80d50579eb203200979aa5115206fedd"
"sn_vdr_risk_asmt_vdr_tiering_assessment","planned_task","4c821a2d9f42220030581471367fcf2c"
"sn_actsub_activity","","f4f5fd24a964211076daa554cb57d93e"
"sys_email_layout","sys_metadata","77e72924a920211076daa554cb57d95b"
"ml_word_vector_corpus_details","","3cf8a5a8a920211076daa554cb57d9ec"
"resource_report_chart","","93da28a887d2e910efbf1f473cbb35ee"
"sn_vul_m2m_scan_vulnerability","","054cdcc2ff200200158bffffffffff94"
"ts_c_54_9","",""
"sn_hr_integrations_background_check_staging","sn_hr_integrations_staging","aaa655c19f0322003be01050a57fcf65"
"x_snc_nowgraph1_config","","a65f60d187d1a11097ae840c8bbb358f"
"incident_fact_table","","4217e120a920211076daa554cb57d9a4"
"sys_cal_unit","","4217e120a920211076daa554cb57d9a4"
"sn_ais_admin_tools_ai_search_dashboard_documents_by_month","","3f115144c33310109f1ed23d2840dd4c"
"sys_filter","sys_metadata","4237ad20a920211076daa554cb57d965"
"sys_sg_item_sorting_attribute_name","sys_metadata","2d39212ca920211076daa554cb57d9d0"
"directory_user","","92b71bd7d5b20010fa9ba060b13e8884"
"im_category_config","","f43b24ec87d2e910efbf1f473cbb3574"
"sn_hr_core_hr_account_role","","d4ac3fff5b311200a4656ede91f91af2"
"cmdb_ci_firewall_device_group","cmdb_ci","ae99d84b2320330006c0110d96bf65b3"
"cmdb_ci_google_datacenter","cmdb_ci_logical_datacenter","06a71b1367e4130051c9027e2685ef1e"
"sys_rte_eb_regex_replace_operation","sys_rte_eb_operation","82596d2ca920211076daa554cb57d9c1"
"cmdb_ci_ot_ied","cmdb_ci_ot_control","ae99d84b2320330006c0110d96bf65b3"
"cmdb_hardware_product_model","cmdb_model","f969256ca920211076daa554cb57d903"
"cmdb_ot_protocol","","ae99d84b2320330006c0110d96bf65b3"
"sc_cat_item_user_mtom","sys_metadata","cc6da5e8a9a0211076daa554cb57d90e"
"sn_cd_content_community","sn_cd_content_base","b26210490b7203008cd6e7ae37673a6a"
"sn_vul_nvd_entry","sn_vul_entry","054cdcc2ff200200158bffffffffff94"
"v_st_kb_most_viewed","","b3a70c8a530323004c36ddeeff7b124c"
"v_st_popular_item","","2263a68187032300e0ef0cf888cb0b3f"
"cmn_other_schedule","","3c7ce5a4a9a0211076daa554cb57d99e"
"cmdb_multisource_query_result_disco_source","","9c79296ca920211076daa554cb57d956"
"test_execution","","02b765e0a920211076daa554cb57d9cc"
"ts_c_8_3","",""
"sn_si_enrichment_malware","sn_sec_cmn_enrichment_data_base","82878663ff123100158bffffffffff67"
"sys_ux_sitemap_definition","","26329d35f52d4510f877c32d14052947"
"sc_service_fulfillment_stage_data","","31d2b128a924211076daa554cb57d929"
"ts_c_52_4","",""
