"name","sys_id"
"NLU Studio","00349185770223005d7b3882a910619d"
"@servicenow/now-vis-timeseries","006683df70194c0497052ca59602580a"
"Service Catalog - Service Workspace","0097719c3b0203008ed00d8044efc478"
"Mobile Card Builder","012fa9ad7367ad6393ae5dea97af6f65"
"Rate Limit for REST API","0179696ca920211076daa554cb57d924"
"@servicenow/now-template-card","017f65a4a9e0211076daa554cb57d9bc"
"Universal Request integration with Microsoft Teams","0183724253a12010b87bddeeff7b1281"
"@servicenow/now-visual-board","01840b01836c0acf70db93c6aef3f8e1"
"sn-component-checklist","019810c1349d2426505ca04b513baf4b"
"Performance Analytics - Premium","01acc2bb875121104b1fa64d0ebb35d9"
"@servicenow/now-highlighted-value","01dc576795c116892f74ca4bcf21d627"
"@devsnc/sn-ihub-pill","01f2fbe57fd60ce6cb55bc603c8d320a"
"Service Portal - Restricted Pages","021fed24a9e0211076daa554cb57d9a5"
"Customer Service Install Base Management","02224f50879e2910efbf1f473cbb35b8"
"@servicenow/now-avatar","0228e964a920211076daa554cb57d967"
"@servicenow/now-vis-dial","02a69a840fa5e468348eb11ccc16e3fa"
"Vendor Core","02a9c7d09712e910da6cdc04a253af23"
"ISM Monitoring","02b1d852ff320110f416d018d53bf121"
"Test status viewer","02b765e0a920211076daa554cb57d9cc"
"PAR Unified Filters API for Workspace","02e2f528a924211076daa554cb57d9fe"
"@devsnc/sn-ihub-data-mapping","02ef69e4a9e0211076daa554cb57d98e"
"@devsnc/sn-assessment","02ef69e4a9e0211076daa554cb57d9af"
"Employee Center Packs","03128d0977560110f89bb73aba1061e4"
"Mobile Applet Launcher","03292de8a920211076daa554cb57d98d"
"ServiceNow Key Management Framework UI","032ba5b8614f0110654df4ebc0d811b6"
"Scripted REST APIs for report","034d21e8a9a0211076daa554cb57d92e"
"@servicenow/now-checkbox","0369324a8cc292554b780153afd7c895"
"@servicenow/now-record-list-connected","036f65a4a9e0211076daa554cb57d90b"
"@devsnc/sn-gw-wrapper","037af9d315d8166f633d053009d4d732"
"ECC","03972da0a920211076daa554cb57d992"
"@devsnc/sn-gw-file-uploader","03ae1c8b062853debbc9916820d5aa18"
"Flow Designer - Engine Reporting Dashboard","03c0b52ca9e0211076daa554cb57d9e2"
"sn-component-chat-window","03d0387dc6ae969539d083379f0a8143"
"OpenAPI","03d03d2ca9e0211076daa554cb57d91a"
"Agile Development 2.0","03d1721587332550efbf1f473cbb35bf"
"SDLC - SCRUM","03d1721587332550efbf1f473cbb35c0"
"Microsoft Teams Spoke for ServiceNow IntegrationHub","040d0efb875121104b1fa64d0ebb35af"
"Read only roles for Release Management","0452b564a924211076daa554cb57d932"
"Responsive Dashboards","0470f1a8a9e0211076daa554cb57d9dc"
"@servicenow/now-breadcrumbs","049fa9a4a9e0211076daa554cb57d958"
"Cost Management","04aaa4e487d2e910efbf1f473cbb350d"
"Virtual Agent integration with actionable notifications","04bf4ef7879121104b1fa64d0ebb3585"
"sn-canvas-chrome","04bfada4a9e0211076daa554cb57d95e"
"UI Framework on Next Experience","04eea8aa8916754c4dd16baadd88d925"
"Search Filters","04eea9e0a9e0211076daa554cb57d91f"
"State Engine","04fc6168a9a0211076daa554cb57d98f"
"Agent Workspace - Global Search","0512f9e0a924211076daa554cb57d9cd"
"sn-dashboards-view","0525083f0a3e22e46a97d0bd424d8c27"
"Instance Security Center","053150b00b653010aa0cafd748e23369"
"Customer Service Household","0539f7b0c3267190b2ce78f9d00131cf"
"Vulnerability Response","054cdcc2ff200200158bffffffffff94"
"DemoHub PA Data Generator","0569f0cadbfdbb00f669f40b0c961904"
"Document display component","058c93360d47670836bcdf6e4c511aa8"
"Microsoft Teams Graph Spoke","05b59658b7332300ce53d818ee11a9eb"
"Process Automation Content","05bf96091b2245107cc3ec26b04bcb73"
"Glide Conversation Server","05d57524a964211076daa554cb57d9a6"
"Event Management and Service Mapping Core","05db2dadc3c73d10b2ce78f9d0013144"
"Key Management Framework Code Signing","05f23d28a924211076daa554cb57d906"
"now-requestor-chat-popover-app","06063564a964211076daa554cb57d9a3"
"sn-component-carousel","06200923d27c00c52f4698f7535296ae"
"@devsnc/sn-record-input-connected","06386d64a920211076daa554cb57d99f"
"Code Search","063fa964a9e0211076daa554cb57d9a2"
"Process Optimization Core","06572eae87126550efbf1f473cbb353a"
"@devsnc/sn-gw-checkbox-tooltip","065d74986da81e307aeb989e240ca159"
"@servicenow/now-scripting-ui-components","069fe9a4a9e0211076daa554cb57d968"
"Discovery and Service Mapping Patterns","06a71b1367e4130051c9027e2685ef1e"
"Demand Management","06da24a887d2e910efbf1f473cbb35cf"
"ITSM Workspace","06e4ef0d87130300ada4046787cb0b08"
"@servicenow/now-record-list-connected","06fabe3330f68ef2344bffa82e4cc5e1"
"Change Management - Standard Change Catalog","07103528a9e0211076daa554cb57d9f0"
"JSDebugger","073f2d64a9e0211076daa554cb57d923"
"@devsnc/sn-catalog-action","078e8020950f12a215a92e8ad9b346e0"
"HRSD Process Optimization Content Pack","07bf777e7772c1101fb2ad00fd5a990e"
"Human Resources: Performance Analytics","07cca2705b021200a4656ede91f91a90"
"Skill Rule","07f2b49d578323006e04aa65ef94f947"
"CSM Account Hierarchy","07f38bd8879e2910efbf1f473cbb35c8"
"@servicenow/sn-banner-announcement","081999c042687d3c234253fc5e0332bc"
"Additional tables for Federal Agencies","083a1baa871e6550efbf1f473cbb35b1"
"Read only roles for PPM Standard","0852b564a924211076daa554cb57d924"
"UI Policy Rules for Service Catalog","086da5e8a9a0211076daa554cb57d90f"
"Project Management Delete","08aaa4e487d2e910efbf1f473cbb350c"
"Live Feed for Mobile UI","08b8a928a920211076daa554cb57d9a4"
"Enterprise Service Management Integrations Framework","08ca765153ed5010a86dddeeff7b1277"
"Natural Language Query","08e27528a924211076daa554cb57d93a"
"GRC: Audit Management Workspace","08f79d1367ea2010c1e4263d32aa1dd7"
"Automated Test Framework - Reporting","0951f5eca9e0211076daa554cb57d944"
"@servicenow/now-typeahead","0986fd7fbf2e4084cf078d41e522b614"
"UI16","09b8e928a920211076daa554cb57d9ce"
"GRC: Metrics","09bd46de537f20104f3eddeeff7b124b"
"sn-nlq-query-input","09bedda52fd1035209ba32642a5e1c39"
"ITBM Security","09ca606887d2e910efbf1f473cbb3531"
"Microsoft SCCM Spoke","09cca88773231300ec9078ba4cf6a7e7"
"Virtual Agent Spoke","0a063564a964211076daa554cb57d9a9"
"Special Handling Notes Demo Data","0a40633cc3227190b2ce78f9d001314a"
"@servicenow/now-record-time","0a4f6cf9662378054b5bfa12c3a87f3c"
"Cluster Plugin","0a67e960a920211076daa554cb57d943"
"ServiceNow Mobile Request - My Request Filter (do not activate, see plugin description)","0a863de4a964211076daa554cb57d90b"
"UI11 - Navpage layout with multiple panes (DEPRECATED)","0a882de4a920211076daa554cb57d932"
"ITSM Spoke","0a913160a924211076daa554cb57d995"
"Scoped App Creator","0aa1393093213100ae6e941e867ffb40"
"@devsnc/sn-uibtk-domain-picker","0aef69e4a9e0211076daa554cb57d9bd"
"UX Configurations","0b08a164a920211076daa554cb57d94c"
"Element Mapping","0b292de8a920211076daa554cb57d973"
"System (glidesoft)","0b37ed20a920211076daa554cb57d958"
"ITSM Roles - Problem Management (do not activate, see plugin description)","0b423564a924211076daa554cb57d9aa"
"@now-par-components/sn-par-popover","0b5f1086c3f904a0b3ccc771e5fa5d40"
"Change Management - Change Approval Policy Foundation Data","0ba1f560a924211076daa554cb57d9af"
"GRC: Technology Controls Monitoring Accelerator","0baf52c8733510100d72a56a4cf6a7be"
"@devsnc/sn-hierarchical-select","0bc511a1dee3dd0f75831d56a265b2f1"
"Questionset Plugin","0bec2168a9a0211076daa554cb57d948"
"@servicenow/now-template-card","0bef1010f754c51689f32c32549c642c"
"Base Analytics Center","0c03fd28a924211076daa554cb57d9af"
"Employee Center - Pro","0c0ed1aa87122550efbf1f473cbb3567"
"Agile - Scaled Agile Framework - Portfolio SAFe","0c36329dc3ff6550b2ce78f9d00131e1"
"UI Policy Rules","0c676960a920211076daa554cb57d969"
"System Applications Support","0c68e5a4a920211076daa554cb57d919"
"Currency support for the service catalog","0cbded2ca9a0211076daa554cb57d95d"
"Timeline Visualization","0ccaac2887d2e910efbf1f473cbb3594"
"Webviews for mobile","0d30eeec77eb2300454792718a106177"
"Customer Service Portal","0d4d033597cd5110269b728c1253affe"
"Automated Test Framework Page Inspector","0d51f5eca9e0211076daa554cb57d985"
"Glide Core","0d57e560a920211076daa554cb57d969"
"Environment Features/Flags","0d57e560a920211076daa554cb57d97a"
"Virtual Agent Web Client","0d5bb8b9730303004ab2369f2ef6a737"
"@servicenow/now-activity-stream-common","0dcb447e9b040ce9c36d00bb84bc8b08"
"@devsnc/sn-options-list","0de8325068268be3a18bdbf2d33a35da"
"@servicenow/now-grid","0df627acf20e21d38a3d8ee131f01beb"
"Anonymous Report Center","0e27d5687d593010fa9b53544dd088bf"
